frame type (0: base 1: event), frame identifier, segment number, frame size, event occurred, map to cam samp. time
1,54,1,12304,-100,-100
1,54,2,12304,-100,-100
1,54,3,12304,-100,-100
1,54,4,12304,-100,-100
1,54,5,12304,-100,-100
1,54,6,12304,-100,-100
1,54,7,12304,-100,-100
1,54,8,12304,-100,-100
1,54,9,12304,-100,-100
1,54,10,12304,-100,-100
1,54,11,1312,-100,-100
0,56,-1,127368,3.73542,3.73542
0,56,0,12304,-100,-100
0,56,1,12304,-100,-100
0,56,2,12304,-100,-100
0,56,3,12304,-100,-100
0,56,4,12304,-100,-100
0,56,5,12304,-100,-100
0,56,6,12304,-100,-100
0,56,7,12304,-100,-100
0,56,8,12304,-100,-100
0,56,9,12304,-100,-100
0,56,10,7672,-100,-100
1,57,-1,161416,3.810745751,3.8125
1,57,0,12304,-100,-100
1,57,1,12304,-100,-100
1,57,2,12304,-100,-100
1,57,3,12304,-100,-100
1,57,4,12304,-100,-100
1,57,5,12304,-100,-100
1,57,6,12304,-100,-100
1,57,7,12304,-100,-100
1,57,8,12304,-100,-100
1,57,9,12304,-100,-100
1,57,10,12304,-100,-100
1,57,11,12304,-100,-100
1,57,12,12304,-100,-100
1,57,13,5720,-100,-100
0,58,-1,185576,3.88958,3.88958
0,58,0,12304,-100,-100
0,58,1,12304,-100,-100
0,58,2,12304,-100,-100
0,58,3,12304,-100,-100
0,58,4,12304,-100,-100
0,58,5,12304,-100,-100
0,58,6,12304,-100,-100
0,58,7,12304,-100,-100
0,58,8,12304,-100,-100
0,58,9,12304,-100,-100
0,58,10,12304,-100,-100
0,58,11,12304,-100,-100
0,58,12,12304,-100,-100
0,58,13,12304,-100,-100
0,58,14,12304,-100,-100
0,58,15,5880,-100,-100
1,60,-1,155568,4.003597941,4.00417
1,60,0,12304,-100,-100
1,60,1,12304,-100,-100
1,60,2,12304,-100,-100
1,60,3,12304,-100,-100
1,60,4,12304,-100,-100
1,60,5,12304,-100,-100
1,60,6,12304,-100,-100
